Recorder,StartTime,EndTime,StartTemp,EndTemp,SheetName,Year,species,1,2,3,4,5,6,7,8,9,10,E
Matt Berry,15:38,16:18,75,77,7-Jul-04,2004,Summer Azure,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,15:38,16:18,75,77,7-Jul-04,2004,Eastern Tiger Swallowtail,0,1,0,0,0,0,0,0,0,0,NA
Matt Berry,11:15,11:58,72,74,14-Jul-04,2004,Cabbage White,1,6,2,0,0,0,0,4,11,1,NA
Matt Berry,11:15,11:58,72,74,14-Jul-04,2004,Clouded Sulphur,0,0,0,1,0,0,0,0,0,0,NA
Matt Berry,11:15,11:58,72,74,14-Jul-04,2004,Eastern Tailed Blue,0,0,0,0,0,0,0,0,1,0,NA
Matt Berry,11:15,11:58,72,74,14-Jul-04,2004,Pearl Crescent,0,0,0,0,1,0,0,0,0,0,NA
Matt Berry,11:15,11:58,72,74,14-Jul-04,2004,Common Wood Nymph,0,0,0,0,0,0,1,0,0,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Cabbage White,0,0,3,1,1,0,1,4,7,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Clouded Sulphur,0,0,0,0,0,0,0,0,0,1,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Eastern Tailed Blue,0,0,0,0,0,0,0,3,1,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Great Spangled Fritillary,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Least Skipper,0,2,0,0,0,0,0,1,0,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Pearl Crescent,0,2,0,0,0,0,0,0,0,0,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Red-spotted Purple,0,0,0,0,0,0,0,0,0,1,NA
Matt Berry,13:42,14:15,85,82,21-Jul-04,2004,Summer Azure,0,0,0,0,0,0,0,1,0,1,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Cabbage White,0,1,1,0,0,0,1,1,3,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Eastern Tailed Blue,0,0,0,0,1,1,0,3,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Least Skipper,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Mourning Cloak,0,1,0,0,0,0,0,0,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Pearl Crescent,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Spicebush Swallowtail,0,0,1,0,0,0,0,0,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Summer Azure,0,0,0,0,0,0,2,0,0,0,NA
Matt Berry,11:39,12:12,65,65,28-Jul-04,2004,Common Wood Nymph,0,0,0,0,0,1,0,0,0,0,NA
Matt Berry,13:43,14:20,75,76,5-Aug-04,2004,Cabbage White,1,0,2,0,2,0,2,3,2,1,NA
Matt Berry,13:43,14:20,75,76,5-Aug-04,2004,Clouded Sulphur,0,0,0,0,0,0,0,1,2,0,NA
Matt Berry,13:43,14:20,75,76,5-Aug-04,2004,Eastern Tailed Blue,0,1,4,0,0,0,0,3,1,0,NA
Matt Berry,13:43,14:20,75,76,5-Aug-04,2004,Least Skipper,0,0,3,0,3,0,1,5,2,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Cabbage White,0,0,3,0,0,0,0,0,1,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Clouded Sulphur,0,1,0,0,0,0,0,0,0,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Eastern Tiger Swallowtail,0,0,0,1,0,0,0,0,1,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Eastern Tailed Blue,0,0,1,0,0,0,0,2,0,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,European Skipper,0,0,0,0,0,0,0,0,2,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Least Skipper,0,0,1,0,0,0,0,1,0,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Mourning Cloak,0,0,1,0,0,0,0,0,0,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Pearl Crescent,0,0,0,1,0,0,0,0,0,0,NA
Matt Berry,12:30,13:10,73,67,14-Aug-04,2004,Red-spotted Purple,0,0,0,4,0,1,0,0,0,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Cabbage White,3,1,1,0,0,0,0,0,2,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Clouded Sulphur,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Eastern Tailed Blue,0,1,0,0,0,0,0,2,0,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Monarch,0,1,1,0,0,1,0,2,0,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Orange Sulphur,0,0,0,0,0,0,0,0,1,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Pearl Crescent,0,0,0,0,0,0,0,1,0,0,NA
Matt Berry,14:36,15:07,81,80,18-Aug-04,2004,Red-spotted Purple,1,0,1,0,1,0,0,0,0,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Cabbage White,1,1,3,0,0,0,0,0,0,5,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Eastern Comma,0,0,0,0,0,1,0,0,0,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Monarch,0,2,0,0,0,0,0,0,0,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Pearl Crescent,0,0,0,0,0,1,0,0,0,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Peck's Skipper,0,0,0,0,0,0,1,0,1,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Red-spotted Purple,0,0,0,0,0,4,0,0,2,0,NA
Matt Berry,14:18,14:56,83,83,27-Aug-04,2004,Zabulon Skipper,0,0,1,0,0,0,0,0,0,0,NA
Matt Berry,13:44,14:15,80,77,2-Sep-04,2004,Cabbage White,2,1,0,0,0,0,0,1,1,0,1
Matt Berry,13:44,14:15,80,77,2-Sep-04,2004,Monarch,0,1,0,0,0,0,0,0,0,0,0
Matt Berry,13:44,14:15,80,77,2-Sep-04,2004,Pearl Crescent,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Cabbage White,0,0,1,0,0,0,0,1,0,0,3
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Clouded Sulphur,0,0,2,0,0,0,0,0,1,0,1
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Eastern Tailed Blue,0,0,1,0,0,0,0,1,2,0,1
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Monarch,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Orange Sulphur,0,1,0,0,0,0,0,0,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Pearl Crescent,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Peck's Skipper,0,0,1,0,0,0,0,1,2,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Red-spotted Purple,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Skipper sp.,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,14:19,14:57,71,69,10-Sep-04,2004,Viceroy,0,0,0,0,0,0,0,0,0,0,1
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Cabbage White,0,2,2,0,0,0,1,1,2,1,1
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Clouded Sulphur,0,0,0,0,0,0,0,2,3,0,1
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Eastern Tailed Blue,0,0,0,0,0,0,0,0,1,0,0
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Pearl Crescent,0,0,0,0,0,0,1,1,0,0,0
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Peck's Skipper,0,0,0,0,0,0,0,1,0,0,0
Matt Berry,13:19,13:53,79,78,16-Sep-04,2004,Viceroy,0,0,1,0,0,0,0,0,0,1,0
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Bronze Copper,0,0,0,0,0,0,0,0,0,0,1
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Cabbage White,2,5,3,0,0,3,1,1,0,0,0
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Clouded Sulphur,1,0,3,2,0,0,1,1,0,0,2
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Monarch,0,0,0,1,0,0,0,0,0,0,0
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Orange Sulphur,1,0,1,0,0,0,0,0,0,0,0
Matt Berry,13:36,14:14,83,82,23-Sep-04,2004,Viceroy,0,0,1,0,0,0,1,0,0,0,0
Matt Berry,13:28,13:58,66,66,30-Sep-04,2004,Cabbage White,1,0,1,0,0,0,0,4,3,1,10
Matt Berry,13:28,13:58,66,66,30-Sep-04,2004,Eastern Comma,0,0,0,0,0,1,0,0,0,0,0
Matt Berry,13:28,13:58,66,66,30-Sep-04,2004,Orange Sulphur,0,0,1,0,0,0,0,1,0,0,2
Matt Berry,13:28,13:58,66,66,30-Sep-04,2004,Pearl Crescent,0,0,0,0,0,0,0,1,1,0,0
